oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
762112400004694,44941226,2458203.9139267933,58203.412268499997,17.7275486,0.0219063368,0,zg,249.80929649999999,47.810226800000002,0.656000018,0.00200000009,20180326412234,762,0xc,0x4,21.2099991,26.2833862,0.0304169226,-0.0418923385,1.2135396e-05,30,1.17900002,2
762112400004694,45041392,2458204.9156080489,58204.413923599997,17.7138062,0.0217454433,0,zg,249.80929320000001,47.810192499999999,0.603999972,-0.00400000019,20180327413924,762,0xc,0x4,20.4300003,26.3085365,0.0389628299,-0.0803470686,2.73005571e-05,30,1.16600001,2
762112400004694,45043447,2458204.9361641831,58204.434479199997,17.7454376,0.0221188944,0,zg,249.80938169999999,47.810226999999998,0.800999999,-0.00600000005,20180327434433,762,0xc,0x4,20.8899994,26.3201656,0.034908928,-0.0799264237,1.76368794e-05,30,1.11399996,2
762112400004694,45045135,2458204.9530396289,58204.451354199999,17.7634411,0.0223364364,0,zg,249.80932110000001,47.810226200000002,1.27999997,-0.0189999994,20180327451319,762,0xc,0x4,20.7099991,26.319706,0.0348331407,-0.0704150498,1.79143026e-05,30,1.08299994,2
762112400004694,45046445,2458204.9661417697,58204.464456000002,17.7052956,0.0216468368,0,zg,249.8093441,47.8102333,0.656000018,0.0130000003,20180327464433,762,0xc,0x4,21.2900009,26.3240929,0.0295913834,-0.0713504255,1.11662175e-05,30,1.06400001,2
762112400004694,45049461,2458204.9963046559,58204.494618099998,17.8079758,0.0228904672,0,zg,249.80930710000001,47.810234199999996,0.981999993,-0.00100000005,20180327494583,762,0xc,0x4,21.2700005,26.3275414,0.0333512016,-0.077317141,1.39742233e-05,30,1.03699994,1
762112400004694,45049553,2458204.9972189786,58204.495532399997,17.7616196,0.0223142598,0,zg,249.80933519999999,47.8102181,0.853999972,-0.00400000019,20180327495532,762,0xc,0x4,21.4200001,26.3286362,0.0322119892,-0.0778732896,1.32316709e-05,30,1.03699994,2
762112400004694,45050083,2458205.0025200122,58204.500833300001,17.6674786,0.0212180335,0,zg,249.80937829999999,47.810237600000001,1.18400002,-0.0170000009,20180327500833,762,0xc,0x4,21.0699997,26.3196297,0.0395959988,-0.0672118142,2.04339922e-05,30,1.03400004,2
762112400004694,45145262,2458205.954338403,58205.452627300001,17.7438889,0.0221003536,0,zg,249.80933580000001,47.810215200000002,0.713999987,0.00300000003,20180328452604,762,0xc,0x4,20.6200008,26.2864571,0.0366700888,-0.0464148223,2.14118845e-05,30,1.07599998,2
762112400004694,45146256,2458205.964280759,58205.462569399999,17.7647972,0.0223529618,0,zg,249.80929750000001,47.810245299999998,0.368000001,0.0199999996,20180328462535,762,0xc,0x4,20.7399998,26.2875366,0.0343959518,-0.0395437852,1.80870484e-05,30,1.06299996,2
762112400004694,45149936,2458206.0010756976,58205.499363399998,17.8213577,0.0230614804,0,zg,249.80930699999999,47.810245299999998,0.629000008,-0.0469999984,20180328499363,762,0xc,0x4,21.2600002,26.2934399,0.0323709659,-0.0531978905,1.33482699e-05,30,1.03400004,2
762112400004694,45150120,2458206.0029160422,58205.501203699998,17.7640133,0.022343412,0,zg,249.80933909999999,47.810242600000002,0.980000019,-0.0149999997,20180328501192,762,0xc,0x4,21.2900009,26.2988377,0.0294579118,-0.0538619235,1.10955398e-05,30,1.03299999,2
762112400004694,45152313,2458206.0248494977,58205.523136600001,17.6829529,0.0213916581,0,zg,249.8093389,47.810246499999998,0.524999976,0.00899999961,20180328523137,762,0xc,0x4,21.3799992,26.2867146,0.0291554853,-0.0485410839,1.09671819e-05,30,1.03299999,2
762112400004694,45241229,2458206.9140269663,58206.412291699999,17.6479721,0.0210027378,0,zg,249.8093173,47.810226900000004,0.602999985,-0.0399999991,20180329412257,762,0xc,0x4,20.7900009,26.3158569,0.0331843384,-0.0522188917,1.68126771e-05,30,1.15499997,2
762112400004694,45243202,2458206.9337612665,58206.432025499998,17.6840725,0.0214043166,0,zg,249.8093231,47.810234299999998,0.541999996,0.0109999999,20180329432014,762,0xc,0x4,20.8899994,26.3301525,0.0325826779,-0.050263878,1.60792079e-05,30,1.10800004,2
