sid,best_status,best_frequency_per_day,baseline_days,tolerance_per_day,frozen_best_candidate_matches_dominant,frozen_best_candidate_matches_any_mode,matches_yearly_alias_dominant,matches_yearly_alias_any_mode,matches_kepler_nyquist_reflection_dominant,matches_kepler_nyquist_reflection_any_mode,analysis_status,prespecified,interval
9000000000001570023,confirmed,0.3320489904363654,2764.6522845728323,0.0005425637098633421,unmatched,unmatched,False,False,False,False,postlaunch_descriptive,False,none
9000000000001573149,not_detected,1.0025120155497935,2746.700246270746,0.0005461098283427841,unmatched,unmatched,False,False,False,False,postlaunch_descriptive,False,none
9000000000001573174,confirmed,7.397533176528616,2749.65985479299,0.0005455220206184116,direct,ambiguous,False,False,False,False,postlaunch_descriptive,False,none
9000000000001575977,not_detected,1.0002056124855134,2743.7358536515385,0.0005466998574238495,unmatched,unmatched,False,False,False,False,postlaunch_descriptive,False,none
9000000000002167444,not_detected,1.0025016977905483,2743.736001706682,0.0005466998279232977,unmatched,unscored,,,,,postlaunch_descriptive,False,none
9000000000002168420,confirmed,1.001444733721386,2743.736032031942,0.0005466998218808744,unmatched,unmatched,False,False,False,False,postlaunch_descriptive,False,none
9000000000002300603,confirmed,7.641394829779324,2764.6523273042403,0.0005425637014772926,direct,ambiguous,False,False,False,False,postlaunch_descriptive,False,none
9000000000002301163,not_detected,0.0031889966074352,2539.9838874442503,0.0005905549273028305,unmatched,unscored,,,,,postlaunch_descriptive,False,none
9000000000002310586,candidate,0.9971804796207768,2743.7360196225345,0.000546699824353496,unmatched,unmatched,False,False,False,False,postlaunch_descriptive,False,none
9000000000002438249,confirmed,0.6198971356351028,2764.652232574299,0.0005425637200680676,unmatched,unmatched,False,False,False,False,postlaunch_descriptive,False,none
9000000000002570760,confirmed,1.9322864285606525,2764.6522384257987,0.0005425637189197093,unmatched,unmatched,False,False,False,False,postlaunch_descriptive,False,none
9000000000002572386,confirmed,8.431150653729231,2764.6522944872268,0.0005425637079176397,unmatched,unscored,,,,,postlaunch_descriptive,False,none
9000000000002578404,confirmed,10.923646342081792,2743.735842539929,0.0005466998596378802,unmatched,ambiguous,False,False,False,False,postlaunch_descriptive,False,none
9000000000002579147,confirmed,10.01124063579272,2743.7358664413914,0.0005466998548754224,direct,ambiguous,False,False,False,False,postlaunch_descriptive,False,none
9000000000002581626,confirmed,18.13964641428976,2743.7359507069923,0.0005466998380851799,unmatched,unscored,,,,,postlaunch_descriptive,False,none
9000000000002581905,not_detected,1.0025017131317917,2743.735959719401,0.0005466998362894232,unmatched,unmatched,False,False,False,False,postlaunch_descriptive,False,none
9000000000002582800,not_detected,2.0030352873190127,2743.735986476764,0.0005466998309579168,unmatched,unmatched,False,False,False,False,postlaunch_descriptive,False,none
9000000000002583669,confirmed,6.88426287419679,2743.736017228104,0.0005466998248305954,unmatched,unmatched,False,False,False,False,postlaunch_descriptive,False,none
9000000000002714707,missing,,,,unscored,unscored,,,,,postlaunch_descriptive,False,none
9000000000002715483,missing,,,,unscored,unscored,,,,,postlaunch_descriptive,False,none
9000000000002718630,not_detected,2.002488622391841,2743.735938652884,0.0005466998404870069,unmatched,unmatched,False,False,False,False,postlaunch_descriptive,False,none
9000000000002851278,candidate,1.1770015028619092,2764.6523747742176,0.0005425636921612979,unmatched,unmatched,False,False,False,False,postlaunch_descriptive,False,none
9000000000002855026,confirmed,14.140428352587731,2743.7358354777098,0.0005466998610450544,unmatched,unscored,,,,,postlaunch_descriptive,False,none
