source_id,ra,dec,gaia_g_mag,bp_rp,wdj_name,wd_class,paper_variable,paper_periodic,known_roster,in_core,n_variants,Pwd,sepsi,sigma_G_nobs,provenance
1004340654352214656,98.30762274978,57.93593289818,17.6006,-0.20560000000000045,WDJ063313.84+575609.40,unclassified,,,False,True,4,0.953962,0.0,0.062657,stageB_rebuild
1013776353903293056,132.46816044852,47.21292611476,17.7164,0.03750000000000142,WDJ084952.49+471247.88,unclassified,,,False,True,4,0.997079,0.0,0.041515,stageB_rebuild
1022716139350977792,138.13980309396,53.22029085675,17.7324,0.0633999999999979,WDJ091233.53+531313.09,unclassified,,,False,True,4,0.995464,0.0,0.034071,stageB_rebuild
1022780838739029120,138.97555324978,53.41831058433,13.7833,0.4156000000000013,WDJ091556.08+532523.86,unclassified,,,False,True,4,0.995738,10.758098,0.015946,stageB_rebuild
1024785484658469120,143.2104416565,55.72102576137,17.6733,0.054700000000000415,WDJ093250.57+554315.39,unclassified,,,False,True,4,0.995783,1.393079,0.058082,stageB_rebuild
1025369256613064192,145.55490792677,57.56187902609,17.4672,0.027300000000000324,WDJ094213.14+573342.49,unclassified,,,False,True,4,0.997639,0.0,0.039262,stageB_rebuild
1034050485029928704,127.64650892143,56.74969390849,17.4852,-0.31980000000000075,WDJ083035.14+564459.53,unclassified,,,False,True,4,0.999543,0.0,0.033637,stageB_rebuild
1038176780370360576,138.63993464649,58.21059815516,17.7262,-0.22990000000000066,WDJ091433.60+581238.12,unclassified,,,False,True,4,0.902883,3.393965,0.040534,stageB_rebuild
1039815430652482560,140.72359933348,61.17334344234,17.7858,0.16430000000000078,WDJ092253.62+611023.66,unclassified,,,False,True,4,0.990394,9.59618,0.032207,stageB_rebuild
103999471976858496,30.36333948974,23.83131501344,16.967,-0.4139000000000017,WDJ020127.21+234952.82,periodic/transit,True,True,True,True,4,0.985204,0.0,0.054467,further_analysis
1057476580987879808,173.67928265673,66.73508872432,17.2047,-0.3022999999999989,WDJ113443.00+664406.30,unclassified,,,False,True,4,0.995714,5.705137,0.03191,stageB_rebuild
1072975022015600000,165.60458467558,70.61937575203,17.419,-0.06970000000000098,WDJ110225.15+703709.88,unclassified,,,False,True,4,0.881642,2.29193,0.040351,stageB_rebuild
1081519288218904960,120.14441994854,56.55859380704,16.5949,-0.08950000000000102,WDJ080034.68+563332.50,unclassified,,,False,True,4,0.99445,1.385037,0.02337,stageB_rebuild
1085903148454238208,112.83923596487,59.96025075951,16.0905,-0.541999999999998,WDJ073121.39+595737.01,unclassified,,,False,True,4,0.988436,10.408675,0.047492,stageB_rebuild
1090886925425489664,127.4748847715,64.06840436939,17.5349,0.03999999999999915,WDJ082954.01+640407.13,unclassified,,,False,True,4,0.997054,0.0,0.030939,stageB_rebuild
1094376947131876352,120.11098060638,63.57076835826,17.8032,-0.4737000000000009,WDJ080026.64+633414.85,unclassified,,,False,True,4,0.983118,2.906838,0.035544,stageB_rebuild
1107590946593313920,93.89628740205,71.20944064468,17.2276,-0.25500000000000256,WDJ061535.10+711233.87,unclassified,,,False,True,4,0.916421,0.0,0.02707,stageB_rebuild
1110291480292939136,116.62429654803,70.50163167878,17.7105,0.06650000000000134,WDJ074629.95+703005.78,unclassified,,,False,True,4,0.9954,0.0,0.040181,stageB_rebuild
1112171030998592256,109.29248612458,74.0108902904,14.9984,-0.14400000000000013,WDJ071709.79+740040.53,unclassified,,,False,True,4,0.996489,5.580595,0.020991,stageB_rebuild
1116797359314558208,94.71316162593,77.45763002587,16.8178,0.04649999999999821,WDJ061851.11+772728.75,unclassified,,,False,True,4,0.997059,0.514594,0.031492,stageB_rebuild
114808397128552576,42.20650951067,26.72555018121,17.2318,-0.15309999999999846,WDJ024849.59+264332.15,unclassified,False,False,True,True,4,0.99963,2.459993,0.025723,excerpt_table
1151452939325236864,164.45372293583,86.94948797922,17.4958,-0.25760000000000005,WDJ105748.50+865658.09,unclassified,,,False,True,4,0.999572,0.0,0.029549,stageB_rebuild
1151978952560241024,129.77621341519,86.97087242996,17.8835,-0.07380000000000209,WDJ083907.09+865815.69,unclassified,,,False,True,4,0.998745,4.105587,0.036182,stageB_rebuild
1155921079702524160,230.4540760706,4.65779033348,17.8013,0.36049999999999827,WDJ152149.03+043928.30,unclassified,,,False,True,4,0.966072,10.688474,0.061491,stageB_rebuild
1157401396015448960,228.065483423,6.86566107396,17.2203,-0.5136000000000003,WDJ151215.73+065156.43,unclassified,,,False,True,4,0.93685,2.19972,0.034339,stageB_rebuild
